"runset","context","name","capex_mn_EUR_per_yr","opex_mn_EUR","net_import_costs_mn_EUR","interconnector_capex_mn_EUR","final_demand_TWh","system_costs_mn_EUR","nuclear_GW","totex_EUR_per_MWh","diff_of_increase","overrun","wacc","extra_capex_mn_EUR_per_yr","totex_increase_EUR_per_MWh"
"optimistic-demand","Pokračování jádra v Evropě",3,4533.81974738333,818.946703227971,746.020493318094,102.779637064341,82.124074298694,6201.56658099374,5.36,75.5145995124155,1.14693949285738,"7315 €/kW",0.04,-322.498456750979,0.327245396415165
"optimistic-demand","Pokračování jádra v Evropě",3,4740.51994317118,818.946703227971,746.020493318094,102.779637064341,82.124074298694,6408.26677678159,5.36,78.0315252440354,1.14693949285738,"8360 €/kW",0.04,-115.798260963131,1.36642491366175
"optimistic-demand","Pokračování jádra v Evropě",3,4955.48102729214,818.946703227971,746.020493318094,102.779637064341,82.124074298694,6623.22786090255,5.36,80.6490413129427,1.14693949285738,"9405 €/kW",0.04,99.1628231578312,3.31288118627316
"optimistic-demand","Pokračování jádra v Evropě",3,5179.00082086303,818.946703227971,746.020493318094,102.779637064341,82.124074298694,6846.74765447343,5.36,83.3707741967487,1.14693949285738,"10450 €/kW",0.04,322.682616728719,6.0346140700792
"optimistic-demand","Pokračování jádra v Evropě",3,5411.43959826931,818.946703227971,746.020493318094,102.779637064341,82.124074298694,7079.18643187971,5.36,86.2011108476176,1.14693949285738,"11495 €/kW",0.04,555.121394134995,8.86495072094813
"optimistic-demand","Pokračování jádra v Evropě",3,5653.15512736058,818.946703227971,746.020493318094,102.779637064341,82.124074298694,7320.90196097099,5.36,89.144407696385,1.14693949285738,"12540 €/kW",0.04,796.836923226274,11.8082475697154
"optimistic-demand","Pokračování jádra v Evropě",3,5904.51951146612,818.946703227971,746.020493318094,102.779637064341,82.124074298694,7572.26634507652,5.36,92.2051957326835,1.14693949285738,"13585 €/kW",0.04,1048.20130733181,14.869035606014
"optimistic-demand","Odpor k OZE",0,4355.00502472463,2424.11411735832,278.727104070725,0.875784764864609,82.1248314698597,7058.72203091855,2.06,85.9511295741184,-1.20814793638823,"6270 €/kW",0.04,0,13.4510536865968
"optimistic-demand","Odpor k OZE",0,4355.00502472463,2424.11411735832,278.727104070725,0.875784764864609,82.1248314698597,7058.72203091855,2.06,85.9511295741184,-1.20814793638823,"7315 €/kW",0.04,0,10.2239354018933
"optimistic-demand","Odpor k OZE",0,4355.00502472463,2424.11411735832,278.727104070725,0.875784764864609,82.1248314698597,7058.72203091855,2.06,85.9511295741184,-1.20814793638823,"8360 €/kW",0.04,0,6.86813318398116
"optimistic-demand","Odpor k OZE",0,4355.00502472463,2424.11411735832,278.727104070725,0.875784764864609,82.1248314698597,7058.72203091855,2.06,85.9511295741184,-1.20814793638823,"9405 €/kW",0.04,0,3.3782144632543
"optimistic-demand","Odpor k OZE",0,4355.00502472463,2424.11411735832,278.727104070725,0.875784764864609,82.1248314698597,7058.72203091855,2.06,85.9511295741184,-1.20814793638823,"10450 €/kW",0.04,0,0.840303120386935
"optimistic-demand","Odpor k OZE",0,4355.00502472463,2424.11411735832,278.727104070725,0.875784764864609,82.1248314698597,7058.72203091855,2.06,85.9511295741184,-1.20814793638823,"11495 €/kW",0.04,0,0
"optimistic-demand","Odpor k OZE",0,4355.00502472463,2424.11411735832,278.727104070725,0.875784764864609,82.1248314698597,7058.72203091855,2.06,85.9511295741184,-1.20814793638823,"12540 €/kW",0.04,0,0
"optimistic-demand","Odpor k OZE",0,4355.00502472463,2424.11411735832,278.727104070725,0.875784764864609,82.1248314698597,7058.72203091855,2.06,85.9511295741184,-1.20814793638823,"13585 €/kW",0.04,0,0
"optimistic-demand","Odpor k OZE",4,5380.30246327556,1706.43353672844,-1126.55177414831,0.875784764864609,82.126491120187,5961.06001062056,6.46,72.5838877238395,-1.29195977270618,"6270 €/kW",0.04,-695.029843487138,0
"optimistic-demand","Odpor k OZE",4,5645.33436442806,1706.43353672844,-1126.55177414831,0.875784764864609,82.126491120187,6226.09191177306,6.46,75.811006008543,-1.29195977270618,"7315 €/kW",0.04,-429.99794233464,0
"optimistic-demand","Odpor k OZE",4,5920.93462547852,1706.43353672844,-1126.55177414831,0.875784764864609,82.126491120187,6501.69217282352,6.46,79.1668082264552,-1.29195977270618,"8360 €/kW",0.04,-154.397681284175,0
"optimistic-demand","Odpor k OZE",4,6207.54940430647,1706.43353672844,-1126.55177414831,0.875784764864609,82.126491120187,6788.30695165147,6.46,82.656726947182,-1.29195977270618,"9405 €/kW",0.04,132.217097543775,0
"optimistic-demand","Odpor k OZE",4,6505.57579573432,1706.43353672844,-1126.55177414831,0.875784764864609,82.126491120187,7086.33334307932,6.46,86.2855973319122,-1.29195977270618,"10450 €/kW",0.04,430.243488971625,1.09095904186279
"optimistic-demand","Odpor k OZE",4,6815.49416560936,1706.43353672844,-1126.55177414831,0.875784764864609,82.126491120187,7396.25171295435,6.46,90.0592684780651,-1.29195977270618,"11495 €/kW",0.04,740.161858846659,4.02432706762878
"optimistic-demand","Odpor k OZE",4,7137.78153773106,1706.43353672844,-1126.55177414831,0.875784764864609,82.126491120187,7718.53908507606,6.46,93.9835487891532,-1.29195977270618,"12540 €/kW",0.04,1062.44923096837,7.94860737871693
"optimistic-demand","Odpor k OZE",4,7472.93404987177,1706.43353672844,-1126.55177414831,0.875784764864609,82.126491120187,8053.69159721677,6.46,98.0644794069028,-1.29195977270618,"13585 €/kW",0.04,1397.60174310908,12.0295379964665
