name,region,season,stat,IMPORT_EXPORT,TOTAL,b_CHP,bio,biogas,coal,coal_bp,coal_ex,coal_sc,dsr,eens,gas_ccgt,gas_chp,gas_eng,gas_eng_chp,gas_peak,h_dams,h_pond,h_ror,heat,li,lig,lig_bp,lig_ex,lig_old,lig_sc,nuclear,offshore,onshore,pump,pump_open,solar
2025-cheap-ets,AT,Y,production_el_eq_TWh,,,,,,,,,,,0,,,,,,,,,,,,,-0,,,,,,,,
2025-cheap-ets,AT,Y,production_excess_TWh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,0
2025-cheap-ets,AT,Y,production_hours,,,,,7436,,,,,2,0,6073,,16,,,8760,5445,8760,,1199,,,0,,,,,,,2105,
2025-cheap-ets,AT,Y,production_used_TWh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.004,,,5.93
2025-cheap-ets,AT,Y,wholesale_expenses_mn_EUR,483.12,,,,,,,,,,,,,,,,0,0,0,,2.747,,,,,,,,,,29.747,
2025-cheap-ets,AT,Y,wholesale_revenues_mn_EUR,595.184,,,,376.572,,,,,0.8,,1660.513,,0.682,,,219.256,476.94,1943.287,,2.539,,,-0,,,,,1071.487,,515.561,494.835
2025-cheap-ets,BA,S,avg_consumer_price_EUR_per_MWh,,87.596,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-cheap-ets,BA,S,avg_producer_price_EUR_per_MWh,,87.571,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-cheap-ets,BA,S,capacity_factor,,1.331,,,,,,,,,,,,,,,0.193,0.243,0.243,,,0.793,,,,,,,0.209,,0.074,0.195
2025-cheap-ets,BA,S,capex_mn_EUR_per_yr,,,,,,,,,,,,,,,,,387.194,22.062,5.079,,,55.288,,,,,,,75.955,,89.384,15.112
2025-cheap-ets,BA,S,charged_TWh,,0.001,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,0,
2025-cheap-ets,BA,S,curtailment_TWh,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-cheap-ets,BA,S,discharged_TWh,,9.784,,,,,,,,,,,,,,,1.608,0.115,0.027,,,,,,,,,,,,0.142,
2025-cheap-ets,BA,S,emissions_MtCO2,,10.292,,,,,,,,,0,,,,,,0,0,0,,,2.393,,,,,,,0,,0,0
2025-cheap-ets,BA,S,export_TWh,,0.316,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-cheap-ets,BA,S,heat_production_PJ,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,
2025-cheap-ets,BA,S,import_TWh,,0.787,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-cheap-ets,BA,S,inflow_TWh,,,,,,,,,,,,,,,,,1.968,0.115,0.027,,,,,,,,,,,,0.141,
2025-cheap-ets,BA,S,load_TWh,,5.385,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-cheap-ets,BA,S,net_import_TWh,,0.47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-cheap-ets,BA,S,opex_mn_EUR,,,,,,,,,,,,,,,,,4.824,0.231,,,,194.499,,,,,,,0,,0.569,0
2025-cheap-ets,BA,S,power_share_high_value,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1
