name,region,season,stat,IMPORT_EXPORT,TOTAL,b_CHP,bio,biogas,coal,coal_bp,coal_ex,dsr,eens,gas_ccgt,gas_chp,gas_eng_chp,gas_peak,h_dams,h_ror,heat,li,lig,lig_bp,lig_ex,lig_old,lig_sc,nuclear,onshore,pump,pump_open,solar
2025-cheap-ets,CZ,S,inflow_TWh,,,,,,,,,,,,,,,0.618,0.766,,,,,,,,,,,0.017,
2025-cheap-ets,CZ,S,load_TWh,,29.592,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-cheap-ets,CZ,S,net_import_TWh,,-3.229,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-cheap-ets,CZ,S,opex_mn_EUR,,,39.532,0,87.72,0,0,0,0,,0,0,72.053,0,1.848,,,0.028,320.89,285.565,366.465,0,134.063,301.727,0,0.386,0.304,0
2025-cheap-ets,CZ,S,power_share_high_value,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,1
2025-cheap-ets,CZ,S,power_share_low_value,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,0
2025-cheap-ets,CZ,S,power_share_zero_value,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,0
2025-cheap-ets,CZ,S,production_TWh,,144.808,0.505,0,1.235,0,0,0,0,0,0,0,0.572,0,0.616,0.766,0.219,0.014,4.113,1.883,4.716,0,1.838,13.715,0.378,0.097,0.076,2.533
2025-cheap-ets,CZ,S,production_el_eq_TWh,,,0.505,,,,0,0,,0,,0,0.572,,,,,,,1.883,5.63,,,,,,,
2025-cheap-ets,CZ,S,production_excess_TWh,,,,,,,,,,,,,,,,,,,,,,,,,0,,,0
2025-cheap-ets,CZ,S,production_hours,,,3901,0,3589,0,0,0,0,0,0,0,1600,0,4368,4368,469,327,4258,4279,4368,0,4296,,,204,236,
2025-cheap-ets,CZ,S,production_used_TWh,,,,,,,,,,,,,,,,,,,,,,,,,0.378,,,2.533
2025-cheap-ets,CZ,S,wholesale_expenses_mn_EUR,16.918,,,,,,,,,,,,,,0,0,,1.198,,,,,,,,10.608,6.55,
2025-cheap-ets,CZ,S,wholesale_revenues_mn_EUR,298.539,,39.39,0,96.329,0,0,0,0,,0,0,44.537,0,47.952,59.815,,1.081,320.792,146.855,438.889,0,143.328,1069.361,29.472,7.495,5.895,197.666
2025-cheap-ets,CZ,W,avg_consumer_price_EUR_per_MWh,,86.354,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-cheap-ets,CZ,W,avg_producer_price_EUR_per_MWh,,86.199,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-cheap-ets,CZ,W,capacity_factor,,1.687,0.945,,0.84,,,,,,0.44,0.519,0.476,0.006,0.153,0.308,0.036,0.071,0.971,0.984,0.998,,0.975,0.817,0.31,0.02,0.023,0.082
2025-cheap-ets,CZ,W,capex_mn_EUR_per_yr,,,57.238,0,49.707,0,0,0,0,,87.828,87.293,19.959,8.282,141.738,87.683,,2.891,103.488,65.339,199.333,0,46.464,3000.042,51.961,139.774,95.559,255.14
2025-cheap-ets,CZ,W,charged_TWh,,2.139,,,,,,,,,,,,,0,0,0.439,0.015,,,,,,,,0.084,0.045,
2025-cheap-ets,CZ,W,curtailment_TWh,,0,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-cheap-ets,CZ,W,discharged_TWh,,6.667,,,,,,,,,,,,,0.468,0.583,0.373,0.013,,,,,,,,0.062,0.047,
2025-cheap-ets,CZ,W,emissions_MtCO2,,76.74,0,0,0,-0,-0,0,0,0,0.626,0.68,0.423,0.002,0,0,0,0,5.519,5.211,8.064,-0,2.313,0,0,0,0,0
2025-cheap-ets,CZ,W,export_TWh,,4.707,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-cheap-ets,CZ,W,heat_production_PJ,,,0.096,,,,-0,0,,0,,0.691,2.766,,,,,,,28.138,34.762,,,,,,,
