name,year,week,neighbour,ImportTWh,ExportTWh
Levnější povolenka,2009,38,DE,0.01,0.066
Levnější povolenka,2009,39,AT,0,0.063
Levnější povolenka,2009,39,SK,0,0.059
Levnější povolenka,2009,39,PL,0.006,0.018
Levnější povolenka,2009,39,DE,0,0.126
Levnější povolenka,2009,40,AT,0,0.06
Levnější povolenka,2009,40,SK,0,0.084
Levnější povolenka,2009,40,PL,0.019,0.023
Levnější povolenka,2009,40,DE,0.062,0.048
Levnější povolenka,2009,41,AT,0,0.046
Levnější povolenka,2009,41,SK,0,0.084
Levnější povolenka,2009,41,PL,0.01,0.015
Levnější povolenka,2009,41,DE,0.003,0.106
Levnější povolenka,2009,42,AT,0.002,0.024
Levnější povolenka,2009,42,SK,0,0.078
Levnější povolenka,2009,42,PL,0.006,0.013
Levnější povolenka,2009,42,DE,0.026,0.03
Levnější povolenka,2009,43,AT,0,0.023
Levnější povolenka,2009,43,SK,0.001,0.045
Levnější povolenka,2009,43,PL,0.008,0.01
Levnější povolenka,2009,43,DE,0.013,0.084
Levnější povolenka,2009,44,AT,0,0.029
Levnější povolenka,2009,44,SK,0.002,0.056
Levnější povolenka,2009,44,PL,0.02,0.011
Levnější povolenka,2009,44,DE,0.014,0.061
Levnější povolenka,2009,45,AT,0,0.035
Levnější povolenka,2009,45,SK,0,0.043
Levnější povolenka,2009,45,PL,0.011,0.012
Levnější povolenka,2009,45,DE,0.008,0.053
Levnější povolenka,2009,46,AT,0,0.026
Levnější povolenka,2009,46,SK,0.001,0.057
Levnější povolenka,2009,46,PL,0.011,0.01
Levnější povolenka,2009,46,DE,0.026,0.017
Levnější povolenka,2009,47,AT,0,0.029
Levnější povolenka,2009,47,SK,0,0.101
Levnější povolenka,2009,47,PL,0.015,0.012
Levnější povolenka,2009,47,DE,0.134,0.005
Levnější povolenka,2009,48,AT,0,0.024
Levnější povolenka,2009,48,SK,0.004,0.043
Levnější povolenka,2009,48,PL,0.031,0.011
Levnější povolenka,2009,48,DE,0.021,0.054
Levnější povolenka,2009,49,AT,0,0.028
Levnější povolenka,2009,49,SK,0,0.085
Levnější povolenka,2009,49,PL,0.006,0.038
Levnější povolenka,2009,49,DE,0.01,0.036
Levnější povolenka,2009,50,AT,0.011,0.018
Levnější povolenka,2009,50,SK,0,0.043
Levnější povolenka,2009,50,PL,0.003,0.068
Levnější povolenka,2009,50,DE,0.015,0.008
Levnější povolenka,2009,51,AT,0.027,0.025
Levnější povolenka,2009,51,SK,0.001,0.051
Levnější povolenka,2009,51,PL,0.011,0.053
Levnější povolenka,2009,51,DE,0.028,0.021
Levnější povolenka,2009,52,AT,0,0.047
Levnější povolenka,2009,52,SK,0.001,0.061
Levnější povolenka,2009,52,PL,0.005,0.018
Levnější povolenka,2009,52,DE,0.007,0.077
Kritický 25,2009,1,AT,0.056,0.002
Kritický 25,2009,1,SK,0.003,0.048
Kritický 25,2009,1,PL,0.008,0.042
Kritický 25,2009,1,DE,0.235,0
Kritický 25,2009,2,AT,0.057,0
Kritický 25,2009,2,SK,0,0.082
Kritický 25,2009,2,PL,0.026,0.022
Kritický 25,2009,2,DE,0.261,0
Kritický 25,2009,3,AT,0.063,0
Kritický 25,2009,3,SK,0,0.069
Kritický 25,2009,3,PL,0.001,0.037
Kritický 25,2009,3,DE,0.259,0
Kritický 25,2009,4,AT,0.069,0
Kritický 25,2009,4,SK,0,0.078
Kritický 25,2009,4,PL,0.002,0.051
Kritický 25,2009,4,DE,0.229,0
Kritický 25,2009,5,AT,0.066,0
Kritický 25,2009,5,SK,0,0.051
Kritický 25,2009,5,PL,0.002,0.051
Kritický 25,2009,5,DE,0.202,0.002
Kritický 25,2009,6,AT,0.065,0
Kritický 25,2009,6,SK,0.002,0.036
Kritický 25,2009,6,PL,0.004,0.049
Kritický 25,2009,6,DE,0.171,0.002
Kritický 25,2009,7,AT,0.077,0
Kritický 25,2009,7,SK,0.002,0.041
Kritický 25,2009,7,PL,0.003,0.039
Kritický 25,2009,7,DE,0.189,0
Kritický 25,2009,8,AT,0.057,0
Kritický 25,2009,8,SK,0.005,0.064
Kritický 25,2009,8,PL,0.009,0.042
Kritický 25,2009,8,DE,0.219,0
Kritický 25,2009,9,AT,0.053,0.001
Kritický 25,2009,9,SK,0.001,0.078
Kritický 25,2009,9,PL,0.007,0.049
Kritický 25,2009,9,DE,0.186,0
Kritický 25,2009,10,AT,0.058,0
Kritický 25,2009,10,SK,0.001,0.05
Kritický 25,2009,10,PL,0,0.065
Kritický 25,2009,10,DE,0.07,0.003
